Aconst,MeanError,MAE,MSE
119.23,0.1070000000000002,0.38499999999999995,0.19934499999999988
119.24000000000001,0.09700000000000006,0.38299999999999995,0.19730499999999992
119.25000000000001,0.08900000000000005,0.379,0.19284499999999996
119.26000000000002,0.07900000000000026,0.377,0.19116499999999995
119.27000000000002,0.06900000000000013,0.37500000000000006,0.18968500000000002
119.28000000000003,0.059000000000000344,0.3730000000000001,0.186145
119.29000000000003,0.05300000000000029,0.37500000000000006,0.18702499999999997
119.30000000000004,0.04300000000000015,0.37300000000000005,0.186065
119.31000000000004,0.03500000000000014,0.3690000000000001,0.182525
119.32000000000005,0.02500000000000018,0.367,0.18192499999999995
119.33000000000006,0.015000000000000036,0.3650000000000001,0.18152500000000002
